cy_id,Days above 18,Days below 15,Days above 25,Days below -2,Days with $\geq 1$ hour above 18,Days below with max temp below 15,Averaged temperature distance,Averaged temp difference above 18,Averaged temp difference below 15,Hourly temperature variation,Annual average temperature,Daily temperature variation,Monthly temperature variation,Hottest temperature,Coldest temperature,# consecutive days above 20,# consecutive days below 0,cluster,is_centroid,selected
2092_AWCM_SP126,52.0,253.0,3.0,0.0,110.0,195.0,5.631420207762557,6.808546434931508,1.169321289954338,6.032925261721891,11.716219032331512,5.642611175301833,5.292927192305118,32.60209,-3.46504,7,2,6,False,True
2093_AWCM_SP126,55.0,252.0,0.0,0.0,113.0,205.0,5.554522512557077,6.767147450913242,1.1378680639269405,5.644419116940013,11.721213615296804,5.168689727310278,4.606309994492962,30.13827,-2.87166,8,1,6,False,False
2094_AWCM_SP126,35.0,235.0,0.0,6.0,122.0,180.0,5.684017666666667,7.053897551369864,0.9624687465753424,6.146094342518261,11.24091982648402,5.809401656537471,5.394247357712108,26.1258,-5.91933,5,5,12,False,False
2095_AWCM_SP126,34.0,259.0,0.0,13.0,110.0,190.0,5.947928157534247,7.428507165525114,0.9238528755707762,6.540366686891704,10.899777593607306,6.172620287620044,5.633254859862288,29.57435,-8.42589,5,15,8,False,False
2096_AWCM_SP126,66.0,222.0,3.0,8.0,159.0,152.0,5.760976259132419,6.303681747716895,1.5881716198630136,6.799887012916595,12.422428819444445,6.3633733520146,6.041573136575916,32.36884,-6.6952,13,6,1,False,False
2097_AWCM_SP126,75.0,258.0,12.0,7.0,107.0,200.0,6.335334682648401,6.903571712328768,1.6887615296803655,7.0497828586102464,12.042188376712328,6.648181050343036,6.17164265871058,34.71428,-9.64838,21,8,4,False,False
2098_AWCM_SP126,68.0,240.0,0.0,2.0,134.0,198.0,6.382139392694064,7.2407355479452065,1.364663765981735,6.850494730657288,11.347188139269408,6.500216937187006,6.297089387633438,30.81744,-4.08469,8,7,11,False,False
2099_AWCM_SP126,61.0,245.0,4.0,4.0,118.0,187.0,5.409758375570776,6.305515204337899,1.3661046107305934,6.198801638207038,12.322450845890412,5.790042147420423,5.225124335788923,32.76055,-7.07244,11,6,3,False,False
2100_AWCM_SP126,45.0,260.0,0.0,0.0,103.0,215.0,5.788368648401827,7.189035599315069,0.9859415547945204,5.775635930535647,11.18264291847454,5.3887587220140825,4.910219752649036,29.13911,-4.32909,7,2,7,False,False
2015_BCCS_SP126,29.0,273.0,0.0,12.0,87.0,240.0,7.122584428082192,8.904876528538813,0.7440042363013698,6.675855163716904,9.36542404452055,6.349726906479912,6.051842297559279,28.35719,-9.56438,3,8,9,False,False
2016_BCCS_SP126,30.0,262.0,0.0,10.0,119.0,192.0,6.383748668949773,7.886610867579909,0.9088301621004568,6.628313461956783,10.446387306466304,6.2068399690485325,5.799881680353481,28.88435,-9.32936,4,10,12,False,False
2017_BCCS_SP126,93.0,238.0,9.0,2.0,126.0,194.0,6.458892809360731,6.7715492500000005,1.831357582191781,7.186385793232219,12.203822355022831,6.778302429274,6.318829513736564,35.08431,-5.36628,24,4,10,False,False
2018_BCCS_SP126,51.0,275.0,2.0,5.0,96.0,215.0,6.472626601598173,7.692561415525114,1.169448376712329,6.749749115034396,10.866270151826482,6.3594944262591335,5.940296824664508,32.19111,-6.20915,8,7,0,False,False
2019_BCCS_SP126,49.0,259.0,3.0,7.0,108.0,219.0,7.162750297945206,8.393892797945206,1.1350966404109588,7.035328005777807,10.107442982876712,6.690649811996033,6.346440404261047,32.93459,-9.6749,6,10,0,False,False
2020_BCCS_SP126,63.0,234.0,0.0,7.0,138.0,184.0,6.223753721461187,7.261394691780821,1.2161158789954338,6.709098014074469,11.218837386156649,6.3266893542710445,6.21410548852722,28.53195,-5.3871,4,14,2,False,False
2021_BCCS_SP126,55.0,242.0,4.0,11.0,124.0,176.0,5.852487584474886,6.72841112671233,1.357964382420091,6.693786131840878,11.863441180365296,6.321957671760235,5.90911073472183,32.60453,-7.72641,9,13,3,False,False
2022_BCCS_SP126,45.0,260.0,0.0,3.0,106.0,217.0,6.383812631278539,7.716461442922374,1.049957292237443,6.386764460706768,10.716101953196349,6.030571321246838,5.640576865678527,29.34021,-7.48801,6,5,7,False,False
2023_BCCS_SP126,45.0,255.0,1.0,0.0,124.0,199.0,5.768738341324201,7.03253360844749,1.09048875,5.914361576778563,11.412239158675796,5.437058186213392,5.055132802363983,31.99777,-1.29368,7,1,12,False,False
